id:113396419, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:113467002, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:113501848, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:113544477, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:113851936, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:113851952, acertos:31, precisao:1.000000, revocacao:1.000000, len attr1(xpath):31, len attr2(gab):31
id:113851979, acertos:31, precisao:1.000000, revocacao:1.000000, len attr1(xpath):31, len attr2(gab):31
id:113851995, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:113852015, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:113852058, acertos:31, precisao:1.000000, revocacao:1.000000, len attr1(xpath):31, len attr2(gab):31
id:113852074, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:113916912, acertos:31, precisao:1.000000, revocacao:1.000000, len attr1(xpath):31, len attr2(gab):31
id:113916939, acertos:30, precisao:1.000000, revocacao:1.000000, len attr1(xpath):30, len attr2(gab):30
id:113994937, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:114018410, acertos:31, precisao:0.968750, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:114027720, acertos:33, precisao:1.000000, revocacao:1.000000, len attr1(xpath):33, len attr2(gab):33
id:114057321, acertos:33, precisao:1.000000, revocacao:1.000000, len attr1(xpath):33, len attr2(gab):33
id:114057347, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:114057363, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:114057380, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:114057401, acertos:33, precisao:1.000000, revocacao:1.000000, len attr1(xpath):33, len attr2(gab):33
id:114057427, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:114057443, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:114057460, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:114553308, acertos:31, precisao:1.000000, revocacao:1.000000, len attr1(xpath):31, len attr2(gab):31
id:114553324, acertos:31, precisao:1.000000, revocacao:1.000000, len attr1(xpath):31, len attr2(gab):31
id:114553341, acertos:31, precisao:1.000000, revocacao:1.000000, len attr1(xpath):31, len attr2(gab):31
id:114742011, acertos:33, precisao:1.000000, revocacao:1.000000, len attr1(xpath):33, len attr2(gab):33
